"Date"	"RVd"	"Last"
"1"	15036	0.317490157327741	15.52
"2"	15037	0.560370127683483	15.81
"3"	15040	0.573069733976592	15.9
"4"	15041	0.895322243664246	15.8
"5"	15042	0.620693257575761	15.87
"6"	15043	0.492109743858011	15.75
"7"	15044	0.54132071824382	15.74
"8"	15047	3.0479055103464	16.58
"9"	15048	5.25446210377428	17.22
"10"	15049	4.23055634639225	17.31
"11"	15050	2.12242170173603	17
"12"	15051	3.52096584476478	17.18
"13"	15054	1.16360142660619	16.89
"14"	15055	0.627043060722303	16.8
"15"	15056	1.0366053636751	16.99
"16"	15057	2.12400915252264	16.63
"17"	15058	0.642917568588672	16.84
"18"	15061	0.642917568588695	17.28
"19"	15062	0.838174015345263	17.03
"20"	15063	0.542908169030453	17.04
"21"	15064	0.431786613965741	17.26
"22"	15065	0.861985777144831	17.25
